Wavelength,r,g,b
390,1.50000e-03,-4.00000e-04,6.20000e-03
395,3.80000e-03,-1.00000e-03,1.61000e-02
400,8.90000e-03,-2.50000e-03,4.00000e-02
405,1.88000e-02,-5.90000e-03,9.06000e-02
410,3.50000e-02,-1.19000e-02,1.80200e-01
415,5.31000e-02,-2.01000e-02,3.08800e-01
420,7.02000e-02,-2.89000e-02,4.67000e-01
425,7.63000e-02,-3.38000e-02,6.15200e-01
430,7.45000e-02,-3.49000e-02,7.63800e-01
435,5.61000e-02,-2.76000e-02,8.77800e-01
440,3.23000e-02,-1.69000e-02,9.75500e-01
445,-4.40000e-03,2.40000e-03,1.00190e+00
450,-4.78000e-02,2.83000e-02,9.99600e-01
455,-9.70000e-02,6.36000e-02,9.13900e-01
460,-1.58600e-01,1.08200e-01,8.29700e-01
465,-2.23500e-01,1.61700e-01,7.41700e-01
470,-2.84800e-01,2.20100e-01,6.13400e-01
475,-3.34600e-01,2.79600e-01,4.72000e-01
480,-3.77600e-01,3.42800e-01,3.49500e-01
485,-4.13600e-01,4.08600e-01,2.56400e-01
490,-4.31700e-01,4.71600e-01,1.81900e-01
495,-4.45200e-01,5.49100e-01,1.30700e-01
500,-4.35000e-01,6.26000e-01,9.10000e-02
505,-4.14000e-01,7.09700e-01,5.80000e-02
510,-3.67300e-01,7.93500e-01,3.57000e-02
515,-2.84500e-01,8.71500e-01,2.00000e-02
520,-1.85500e-01,9.47700e-01,9.50000e-03
525,-4.35000e-02,9.94500e-01,7.00000e-04
530,1.27000e-01,1.02030e+00,-4.30000e-03
535,3.12900e-01,1.03750e+00,-6.40000e-03
540,5.36200e-01,1.05170e+00,-8.20000e-03
545,7.72200e-01,1.03900e+00,-9.40000e-03
550,1.00590e+00,1.00290e+00,-9.70000e-03
555,1.27100e+00,9.69800e-01,-9.70000e-03
560,1.55740e+00,9.16200e-01,-9.30000e-03
565,1.84650e+00,8.57100e-01,-8.70000e-03
570,2.15110e+00,7.82300e-01,-8.00000e-03
575,2.42500e+00,6.95300e-01,-7.30000e-03
580,2.65740e+00,5.96600e-01,-6.30000e-03
585,2.91510e+00,5.06300e-01,-5.37000e-03
590,3.07790e+00,4.20300e-01,-4.45000e-03
595,3.16130e+00,3.36000e-01,-3.57000e-03
600,3.16730e+00,2.59100e-01,-2.77000e-03
605,3.10480e+00,1.91700e-01,-2.08000e-03
610,2.94620e+00,1.36700e-01,-1.50000e-03
615,2.71940e+00,9.38000e-02,-1.03000e-03
620,2.45260e+00,6.11000e-02,-6.80000e-04
625,2.17000e+00,3.71000e-02,-4.42000e-04
630,1.83580e+00,2.15000e-02,-2.72000e-04
635,1.51790e+00,1.12000e-02,-1.41000e-04
640,1.24280e+00,4.40000e-03,-5.49000e-05
645,1.00700e+00,7.80000e-05,-2.20000e-06
650,7.82700e-01,-1.36800e-03,2.37000e-05
655,5.93400e-01,-1.98800e-03,2.86000e-05
660,4.44200e-01,-2.16800e-03,2.61000e-05
665,3.28300e-01,-2.00600e-03,2.25000e-05
670,2.39400e-01,-1.64200e-03,1.82000e-05
675,1.72200e-01,-1.27200e-03,1.39000e-05
680,1.22100e-01,-9.47000e-04,1.03000e-05
685,8.53000e-02,-6.83000e-04,7.38000e-06
690,5.86000e-02,-4.78000e-04,5.22000e-06
695,4.08000e-02,-3.37000e-04,3.67000e-06
700,2.84000e-02,-2.35000e-04,2.56000e-06
705,1.97000e-02,-1.63000e-04,1.76000e-06
710,1.35000e-02,-1.11000e-04,1.20000e-06
715,9.24000e-03,-7.48000e-05,8.17000e-07
720,6.38000e-03,-5.08000e-05,5.55000e-07
725,4.41000e-03,-3.44000e-05,3.75000e-07
730,3.07000e-03,-2.34000e-05,2.54000e-07
